ticker,o,h,l,c,v,vw,t,n
MSFT,158.78,160.73,158.33,160.62,22634546.0,159.7765,1577941200000,175502
MSFT,158.32,159.945,158.06,158.62,21121681.0,159.179,1578027600000,166450
MSFT,157.08,159.1,156.51,159.03,20826702.0,158.4836,1578286800000,148389
MSFT,159.32,159.67,157.32,157.58,21881740.0,158.2987,1578373200000,167836
MSFT,158.93,160.8,157.9491,160.09,27762026.0,159.6,1578459600000,198630
MSFT,161.835,162.215,161.03,162.09,21399730.0,161.8187,1578546000000,160995
MSFT,162.8235,163.22,161.18,161.34,20733946.0,162.0945,1578632400000,160002
MSFT,161.76,163.31,161.26,163.28,21637007.0,162.5914,1578891600000,155175
MSFT,163.39,163.6,161.72,162.13,23500783.0,162.711,1578978000000,176572
MSFT,162.62,163.94,162.57,163.18,21406771.0,163.346,1579064400000,167359
MSFT,164.35,166.24,164.03,166.17,23865360.0,165.4093,1579150800000,169029
MSFT,167.42,167.4675,165.43,167.1,34371659.0,166.6855,1579237200000,201344
MSFT,166.68,168.19,166.43,166.5,29286191.0,166.9603,1579582800000,179782
MSFT,167.4,167.49,165.68,165.7,24138777.0,166.3296,1579669200000,181397
MSFT,166.19,166.8,165.27,166.72,19680766.0,166.3697,1579755600000,134803
MSFT,167.51,167.53,164.45,165.04,24918117.0,165.8513,1579842000000,198575
MSFT,161.15,163.375,160.2,162.28,32078067.0,162.3536,1580101200000,238977
MSFT,163.78,165.755,163.073,165.46,24899940.0,165.1146,1580187600000,172402
MSFT,167.84,168.75,165.69,168.04,35127771.0,168.1809,1580274000000,279793
MSFT,174.05,174.05,170.79,172.78,51593470.0,172.4802,1580360400000,408450
MSFT,172.21,172.4,169.58,170.23,36142690.0,170.6209,1580446800000,290137
MSFT,170.43,174.5,170.4,174.38,30149052.0,173.2983,1580706000000,220735
MSFT,177.14,180.64,176.31,180.12,36433339.0,178.9967,1580792400000,270084
MSFT,184.03,184.2,178.4101,179.9,39186324.0,180.4486,1580878800000,323395
MSFT,180.97,183.8199,180.059,183.63,27671381.0,182.5847,1580965200000,230442
MSFT,182.845,185.63,182.48,183.89,33511074.0,184.1795,1581051600000,245035
MSFT,183.58,188.84,183.25,188.7,35844267.0,186.9678,1581310800000,260619
MSFT,190.65,190.7,183.5,184.44,53159906.0,186.815,1581397200000,476625
MSFT,185.58,185.85,181.85,184.71,47062921.0,183.8736,1581483600000,378189
MSFT,183.08,186.23,182.872,183.71,35295834.0,184.3966,1581570000000,292075
